County,County Value,Error Margin,Z-Score
"Connecticut","25%","&nbsp;",
"Fairfield","21%","20-22%","-1.61"
"Hartford","27%","25-28%","0.59"
"Litchfield","23%","21-25%","-0.80"
"Middlesex","24%","21-26%","-0.53"
"New Haven","26%","25-28%","0.52"
"New London","27%","25-29%","0.67"
"Tolland","24%","22-26%","-0.37"
"Windham","29%","26-31%","1.52"
