County,County Value,Error Margin,Z-Score
"Hawaii","22%","&nbsp;",
"Hawaii","24%","22-25%","1.18"
"Honolulu","22%","21-23%","-0.19"
"Kalawao","24%","17-31%","NA"
"Kauai","21%","19-22%","-1.23"
"Maui","22%","21-24%","0.24"
