County,County Value,Error Margin,Z-Score
"Rhode Island","26%","&nbsp;",
"Bristol","21%","19-24%","-1.02"
"Kent","28%","26-30%","1.05"
"Newport","22%","20-24%","-0.89"
"Providence","28%","27-29%","1.02"
"Washington","24%","22-26%","-0.17"
